,equity_curve,benchmark
start,1994-01-07 00:00:00,1994-01-07 00:00:00
end,2021-12-31 00:00:00,2021-12-31 00:00:00
rf,0.0,0.0
total_return,1600.2507812992314,15.889948494356776
cagr,0.3017373438060511,0.10630251274128888
max_drawdown,-0.16897163184714137,-0.5461302003929008
calmar,1.785727820152764,0.19464683085610718
mtd,0.023332557839760293,0.038474460022591694
three_month,0.08091789411445371,0.07370557452516091
six_month,0.12701442426810883,0.12082604797687635
ytd,0.3807189835885121,0.3043118879394706
one_year,0.3807189835885121,0.3043118879394706
three_year,0.39957582226124266,0.2565472051735398
five_year,0.3611313330518635,0.1802818738930978
ten_year,0.31591238352290274,0.16267815308180356
incep,0.3017373438060511,0.10630251274128888
daily_sharpe,,
daily_sortino,,
daily_mean,,
daily_vol,,
daily_skew,,
daily_kurt,,
best_day,,
worst_day,,
monthly_sharpe,1.8170988584264631,0.732038706829284
monthly_sortino,7.496816353645153,1.2363697536504459
monthly_mean,0.27803724182506384,0.11309377758044938
monthly_vol,0.15301162098898308,0.15449152691706444
monthly_skew,2.154673665480204,-0.6159224779390204
monthly_kurt,7.8351239656943825,1.736436378886455
best_month,0.2708794154116776,0.13654448143208908
worst_month,-0.12825478457034134,-0.1987587476184467
yearly_sharpe,1.4295854911525128,0.6846597252560339
yearly_sortino,inf,1.442303962840283
yearly_mean,0.32633887737467787,0.12798187533235092
yearly_vol,0.228275174443459,0.1869277111115176
yearly_skew,2.9288540741185014,-1.0253387035234633
yearly_kurt,11.989477573103407,1.0355389750520247
best_year,1.2845932515840306,0.38048961847248797
worst_year,0.05637160915139483,-0.3940400525122264
avg_drawdown,-0.02402232895422533,-0.03446777001369555
avg_drawdown_days,39.44086021505376,64.203125
avg_up_month,0.04729240571675638,0.03484290163419391
avg_down_month,-0.004843613084299675,-0.03671315514452386
win_year_perc,1.0,0.8148148148148148
twelve_month_win_perc,1.0,0.8061538461538461
